epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
130,574.068,0.39177,0.2884,0.84972,0.97383,1,0.995,0.88133,0.52593,0.27839,0.81556,0.000114273,0.000114273,0.000114273
131,579.403,0.39653,0.29467,0.85195,0.9741,1,0.995,0.90322,0.52513,0.27931,0.81403,0.000109198,0.000109198,0.000109198
132,583.195,0.41114,0.30412,0.85647,0.9752,1,0.995,0.88241,0.53761,0.28442,0.81859,0.000104123,0.000104123,0.000104123
133,587.295,0.38023,0.27005,0.84726,0.97321,1,0.995,0.88107,0.53775,0.28582,0.81705,9.90472e-05,9.90472e-05,9.90472e-05
134,591.762,0.40073,0.29227,0.84684,0.98234,1,0.995,0.87537,0.53356,0.27778,0.81916,9.39718e-05,9.39718e-05,9.39718e-05
135,596.205,0.40813,0.29771,0.84594,0.98333,1,0.995,0.88231,0.53021,0.27581,0.823,8.88964e-05,8.88964e-05,8.88964e-05
136,600.058,0.40717,0.28811,0.85297,0.98524,1,0.995,0.87979,0.53757,0.27026,0.82461,8.3821e-05,8.3821e-05,8.3821e-05
137,604.523,0.37456,0.28022,0.83285,0.98526,1,0.995,0.88697,0.53632,0.26949,0.82586,7.87456e-05,7.87456e-05,7.87456e-05
138,609.006,0.37598,0.2889,0.85693,0.98527,1,0.995,0.88616,0.52743,0.26538,0.82617,7.36702e-05,7.36702e-05,7.36702e-05
139,612.917,0.38443,0.28089,0.84065,0.98457,1,0.995,0.89646,0.5082,0.272,0.81958,6.85948e-05,6.85948e-05,6.85948e-05
140,617.204,0.37989,0.28692,0.85024,0.98494,1,0.995,0.88647,0.51116,0.2791,0.81855,6.35194e-05,6.35194e-05,6.35194e-05
141,624.024,0.35624,0.25661,0.81455,0.98604,1,0.995,0.87515,0.52478,0.28951,0.81914,5.8444e-05,5.8444e-05,5.8444e-05
142,628.64,0.34924,0.2492,0.82015,0.98558,1,0.995,0.87253,0.55744,0.30229,0.82365,5.33686e-05,5.33686e-05,5.33686e-05
143,633.237,0.33207,0.24969,0.80025,0.98628,1,0.995,0.87705,0.56705,0.30023,0.82623,4.82932e-05,4.82932e-05,4.82932e-05
144,637.105,0.32241,0.24217,0.7938,0.98527,1,0.995,0.87685,0.54618,0.28473,0.82344,4.32178e-05,4.32178e-05,4.32178e-05
145,640.907,0.32073,0.2334,0.82035,0.98527,1,0.995,0.88781,0.5286,0.27491,0.82034,3.81424e-05,3.81424e-05,3.81424e-05
146,645.737,0.32148,0.23224,0.81679,0.98593,1,0.995,0.88812,0.50995,0.27152,0.81791,3.3067e-05,3.3067e-05,3.3067e-05
147,649.772,0.32058,0.23763,0.81802,0.98608,1,0.995,0.8964,0.49829,0.26317,0.81796,2.79916e-05,2.79916e-05,2.79916e-05
148,653.586,0.31924,0.22845,0.80529,0.98624,1,0.995,0.89532,0.49449,0.26279,0.81954,2.29162e-05,2.29162e-05,2.29162e-05
149,658.197,0.32291,0.2386,0.81936,0.98563,1,0.995,0.90506,0.49506,0.26334,0.81915,1.78408e-05,1.78408e-05,1.78408e-05
150,662.124,0.29835,0.22614,0.79564,0.98503,1,0.995,0.90002,0.49619,0.26262,0.81948,1.27654e-05,1.27654e-05,1.27654e-05
